,Mito,ConA,WGA,DAPI,Phalloidin,Sum
IPO8,23.0,33.0,16.0,21.0,13.0,113.0
IPPK,43.0,25.0,23.0,28.0,12.0,133.0
IQANK1,17.0,24.0,13.0,20.0,9.0,87.0
IQCB1,24.0,15.0,27.0,53.0,22.0,155.0
IRAK1BP1,15.0,13.0,25.0,10.0,37.0,100.0
IRF1,27.0,16.0,40.0,23.0,14.0,125.0
IRF2BPL,22.0,12.0,20.0,59.0,29.0,151.0
IRF4,20.0,16.0,17.0,29.0,34.0,125.0
IRF7,16.0,12.0,50.0,51.0,26.0,161.0
ISM1,17.0,10.0,14.0,62.0,22.0,136.0
ISM2,18.0,12.0,17.0,58.0,51.0,161.0
ISY1,31.0,33.0,23.0,28.0,22.0,142.0
ITFG1,14.0,10.0,15.0,13.0,35.0,89.0
ITGA3,20.0,24.0,27.0,54.0,21.0,152.0
ITGA4,25.0,23.0,39.0,18.0,22.0,132.0
ITGA5,37.0,21.0,15.0,23.0,15.0,126.0
ITGA7,19.0,19.0,22.0,63.0,22.0,152.0
ITGAX,20.0,11.0,17.0,27.0,33.0,110.0
ITM2B,23.0,16.0,30.0,60.0,18.0,159.0
ITPKC,27.0,18.0,54.0,37.0,14.0,149.0
IZUMO1R,14.0,13.0,14.0,25.0,32.0,104.0
JAG1,10.0,14.0,19.0,20.0,63.0,131.0
JPH3,46.0,15.0,15.0,23.0,20.0,120.0
JSRP1,28.0,13.0,39.0,26.0,42.0,148.0
JUND,15.0,14.0,17.0,18.0,37.0,111.0
KANK1,13.0,12.0,20.0,16.0,36.0,101.0
KANK2,20.0,25.0,20.0,50.0,14.0,135.0
KANK3,27.0,13.0,18.0,21.0,36.0,124.0
KARS,57.0,16.0,26.0,14.0,34.0,157.0
KAT7,19.0,9.0,16.0,12.0,61.0,130.0
KATNB1,17.0,15.0,17.0,52.0,33.0,134.0
KCNA7,11.0,11.0,20.0,53.0,11.0,125.0
KCNC4,19.0,14.0,17.0,62.0,22.0,142.0
KCNIP3,28.0,20.0,28.0,56.0,19.0,153.0
KCNJ10,33.0,16.0,12.0,62.0,23.0,153.0
KCNJ12,17.0,17.0,36.0,24.0,42.0,146.0
KCNJ4,18.0,9.0,19.0,19.0,38.0,111.0
KCNMB2,12.0,7.0,14.0,57.0,21.0,121.0
KCNN1,17.0,18.0,23.0,57.0,25.0,151.0
KCNV2,34.0,32.0,31.0,13.0,19.0,140.0
KCTD10,23.0,16.0,19.0,30.0,44.0,132.0
KCTD16,18.0,9.0,16.0,13.0,34.0,100.0
KCTD2,30.0,34.0,30.0,16.0,17.0,135.0
KDM4B,15.0,8.0,21.0,39.0,41.0,133.0
KEAP1,32.0,19.0,32.0,41.0,34.0,159.0
KHNYN,15.0,12.0,40.0,22.0,28.0,121.0
KIAA0100,17.0,11.0,38.0,22.0,19.0,109.0
KIAA0391,41.0,29.0,33.0,33.0,18.0,160.0
KIAA0586,17.0,10.0,30.0,18.0,38.0,121.0
KIAA1257,21.0,14.0,38.0,28.0,49.0,154.0
KIAA1324L,12.0,12.0,12.0,20.0,34.0,97.0
KIAA1429,31.0,27.0,19.0,19.0,19.0,111.0
KIAA1456,21.0,10.0,37.0,27.0,21.0,120.0
KIAA1522,33.0,25.0,28.0,23.0,29.0,145.0
KIF17,25.0,17.0,17.0,34.0,35.0,130.0
KIF18B,37.0,19.0,23.0,48.0,13.0,139.0
KIF21A,13.0,11.0,43.0,16.0,27.0,118.0
KIF22,19.0,26.0,12.0,29.0,16.0,112.0
KIF3A,21.0,34.0,28.0,11.0,8.0,104.0
KIF4A,43.0,19.0,21.0,44.0,20.0,156.0
KIF5B,41.0,19.0,33.0,33.0,15.0,144.0
KIF9,29.0,31.0,20.0,44.0,18.0,147.0
KIT,31.0,42.0,14.0,16.0,17.0,124.0
KITLG,28.0,19.0,19.0,54.0,16.0,148.0
KLF12,22.0,24.0,23.0,29.0,11.0,116.0
KLF17,23.0,11.0,21.0,56.0,22.0,131.0
KLF4,24.0,16.0,45.0,38.0,25.0,153.0
KLHDC8A,23.0,14.0,28.0,32.0,32.0,133.0
KLHL15,15.0,9.0,12.0,11.0,32.0,83.0
KLHL33,36.0,26.0,18.0,44.0,20.0,153.0
KLHL35,38.0,17.0,32.0,45.0,18.0,149.0
KLK12,35.0,15.0,38.0,38.0,14.0,148.0
KNTC1,35.0,28.0,18.0,63.0,17.0,163.0
KPNA7,21.0,15.0,22.0,47.0,33.0,148.0
KPNB1,24.0,15.0,25.0,32.0,62.0,160.0
KRAS,47.0,13.0,22.0,40.0,18.0,147.0
KREMEN2,42.0,21.0,23.0,40.0,22.0,154.0
KRIT1,24.0,10.0,45.0,19.0,27.0,128.0
KRT1,29.0,16.0,49.0,45.0,14.0,153.0
KRT12,46.0,26.0,23.0,37.0,15.0,148.0
KRT2,35.0,22.0,19.0,61.0,18.0,164.0
KRT8,23.0,27.0,16.0,46.0,14.0,131.0
KRT80,29.0,12.0,43.0,48.0,15.0,160.0
KRT81,12.0,12.0,12.0,57.0,18.0,111.0
KRT82,39.0,25.0,20.0,23.0,15.0,124.0
KTN1,30.0,31.0,18.0,17.0,17.0,118.0
KXD1,30.0,15.0,41.0,15.0,29.0,131.0
L3MBTL3,16.0,18.0,41.0,29.0,17.0,124.0
LACTB2,34.0,29.0,18.0,36.0,18.0,136.0
LAMA1,37.0,34.0,32.0,17.0,20.0,145.0
LAMA4,26.0,38.0,23.0,16.0,20.0,131.0
LAMB1,17.0,13.0,37.0,39.0,15.0,123.0
LAMB4,26.0,12.0,27.0,38.0,35.0,146.0
LAMC1,41.0,14.0,14.0,12.0,9.0,95.0
LARP1B,19.0,11.0,35.0,21.0,38.0,127.0
LARP4B,42.0,14.0,33.0,39.0,22.0,156.0
LARP6,25.0,15.0,38.0,35.0,21.0,138.0
LARS,20.0,15.0,39.0,25.0,14.0,119.0
LAT2,16.0,10.0,39.0,23.0,13.0,107.0
LCA5L,14.0,11.0,16.0,16.0,34.0,106.0
LCAT,23.0,16.0,38.0,53.0,27.0,165.0
LCE3D,16.0,11.0,34.0,54.0,16.0,133.0
LCN10,23.0,14.0,30.0,33.0,34.0,146.0
LCP2,40.0,12.0,12.0,23.0,12.0,105.0
LDB1,18.0,10.0,15.0,17.0,36.0,101.0
LDLRAP1,34.0,34.0,17.0,11.0,13.0,112.0
LGALS3BP,21.0,24.0,23.0,39.0,19.0,137.0
LGALS4,23.0,9.0,30.0,18.0,33.0,115.0
LGI1,15.0,11.0,22.0,54.0,13.0,122.0
LGMN,36.0,24.0,22.0,37.0,15.0,138.0
LHB,34.0,36.0,20.0,48.0,10.0,149.0
LHFPL4,18.0,42.0,16.0,28.0,18.0,114.0
LILRB3,44.0,14.0,22.0,52.0,20.0,156.0
LINC01638,24.0,17.0,25.0,26.0,35.0,136.0
LMLN2,16.0,13.0,36.0,21.0,67.0,151.0
LMNB1,19.0,12.0,41.0,10.0,13.0,98.0
LMO3,23.0,15.0,18.0,68.0,19.0,151.0
LMOD1,24.0,11.0,15.0,57.0,15.0,136.0
LMTK2,15.0,17.0,42.0,24.0,24.0,131.0
LNP1,11.0,10.0,15.0,14.0,57.0,110.0
LNX1,14.0,12.0,12.0,56.0,14.0,115.0
LOC100128108,28.0,10.0,14.0,25.0,56.0,139.0
LOC100128242,19.0,11.0,22.0,21.0,40.0,121.0
LOC100144595,33.0,36.0,38.0,28.0,21.0,157.0
LOC100505502,16.0,10.0,16.0,54.0,28.0,129.0
LOC100507462,41.0,25.0,32.0,31.0,21.0,156.0
LOC100653133,27.0,19.0,41.0,28.0,34.0,148.0
LOC100996274,24.0,10.0,21.0,23.0,41.0,118.0
LOC100996365,13.0,11.0,39.0,51.0,50.0,163.0
LOC100996701,20.0,9.0,41.0,22.0,17.0,124.0
LOC100996720,25.0,11.0,30.0,23.0,62.0,156.0
LOC100996741,31.0,16.0,44.0,38.0,28.0,156.0
LOC100996842,27.0,15.0,19.0,67.0,14.0,150.0
LOC101060254,26.0,10.0,33.0,25.0,39.0,126.0
LOC101060341,29.0,20.0,20.0,56.0,26.0,149.0
LOC101927503,27.0,16.0,25.0,62.0,26.0,162.0
LOC101927506,33.0,11.0,18.0,68.0,32.0,164.0
LOC101927789,50.0,21.0,19.0,23.0,15.0,127.0
LOC101928592,25.0,27.0,19.0,17.0,10.0,95.0
LOC101929235,19.0,25.0,21.0,17.0,13.0,91.0
LOC101929322,32.0,16.0,26.0,30.0,43.0,150.0
LOC101929479,31.0,14.0,52.0,25.0,25.0,154.0
LOC101929599,46.0,40.0,18.0,33.0,15.0,154.0
LOC101929805,22.0,19.0,29.0,59.0,25.0,165.0
LOC102723722,17.0,11.0,43.0,40.0,41.0,147.0
LOC102724159,25.0,14.0,22.0,55.0,20.0,142.0
LOC102724904,35.0,29.0,32.0,39.0,20.0,152.0
LOC102724971,25.0,17.0,23.0,64.0,23.0,159.0
LOC105369914,19.0,21.0,47.0,47.0,17.0,157.0
LOC105371063,28.0,18.0,19.0,18.0,34.0,114.0
LOC105371191,21.0,9.0,60.0,44.0,26.0,158.0
LOC105372412,26.0,25.0,18.0,17.0,28.0,120.0
LOC105372704,25.0,37.0,18.0,34.0,13.0,130.0
LOC105372798,12.0,8.0,11.0,14.0,36.0,79.0
LOC105373311,19.0,12.0,13.0,59.0,26.0,133.0
LOC105373392,38.0,24.0,23.0,24.0,14.0,130.0
LOC105373395,35.0,26.0,17.0,25.0,33.0,141.0
LOC105373759,23.0,9.0,18.0,33.0,39.0,125.0
LOC105374378,25.0,11.0,17.0,43.0,33.0,128.0
LOC105375787,28.0,18.0,40.0,28.0,29.0,140.0
LOC105377752,41.0,29.0,35.0,13.0,14.0,137.0
LOC105378577,17.0,12.0,31.0,21.0,36.0,120.0
LOC105378947,33.0,24.0,28.0,43.0,19.0,156.0
LOC105379177,25.0,13.0,23.0,22.0,32.0,113.0
LOC105379417,21.0,13.0,50.0,32.0,31.0,142.0
LOC105379554,27.0,16.0,59.0,40.0,20.0,159.0
LOC105379561,31.0,14.0,17.0,66.0,17.0,153.0
LOC107983990,36.0,24.0,21.0,50.0,33.0,160.0
LOC107984115,38.0,18.0,22.0,24.0,11.0,121.0
LOC107984314,23.0,15.0,39.0,32.0,49.0,160.0
LOC107984638,36.0,31.0,39.0,33.0,20.0,160.0
LOC107984813,22.0,36.0,15.0,10.0,17.0,100.0
LOC107984841,26.0,15.0,41.0,29.0,25.0,134.0
LOC107985149,24.0,9.0,37.0,13.0,13.0,101.0
LOC107985416,37.0,13.0,20.0,37.0,36.0,146.0
LOC107985687,20.0,10.0,27.0,17.0,33.0,117.0
LOC107985931,18.0,35.0,40.0,29.0,17.0,135.0
LOC107986192,18.0,11.0,17.0,13.0,39.0,105.0
LOC107986677,20.0,13.0,13.0,31.0,34.0,115.0
LOC107986755,21.0,11.0,21.0,65.0,21.0,158.0
LOC107986810,30.0,25.0,26.0,18.0,20.0,116.0
LOC107987070,28.0,13.0,27.0,78.0,20.0,165.0
LOC107987285,10.0,10.0,12.0,10.0,40.0,82.0
LOC107987397,41.0,19.0,27.0,45.0,16.0,153.0
LOC112267997,29.0,24.0,12.0,19.0,21.0,109.0
LOC112268005,20.0,13.0,18.0,20.0,32.0,104.0
LOC112268076,18.0,10.0,36.0,17.0,46.0,133.0
LOC112268140,23.0,10.0,37.0,31.0,22.0,130.0
LOC112268168,41.0,29.0,37.0,35.0,13.0,158.0
LOC112268173,33.0,30.0,19.0,15.0,11.0,112.0
LOC112268271,36.0,76.0,19.0,18.0,18.0,164.0
LOC112268321,27.0,26.0,40.0,25.0,16.0,134.0
LOC112268409,27.0,18.0,46.0,24.0,41.0,155.0
LOC283710,14.0,16.0,20.0,57.0,16.0,128.0
LOC400927-CSNK1E,17.0,13.0,15.0,55.0,10.0,124.0
LOC401052,27.0,32.0,15.0,12.0,19.0,111.0
LOC644215,13.0,26.0,17.0,38.0,36.0,136.0
LOC644249,19.0,13.0,27.0,22.0,36.0,122.0
LOC645188,14.0,9.0,48.0,17.0,20.0,107.0
LOC646588,12.0,12.0,43.0,23.0,15.0,115.0
LOC653602,29.0,12.0,14.0,15.0,38.0,114.0
LOC730183,37.0,12.0,20.0,23.0,20.0,129.0
LOXL3,22.0,18.0,42.0,31.0,22.0,142.0
LPCAT3,40.0,24.0,17.0,52.0,23.0,160.0
LPIN1,17.0,11.0,22.0,22.0,43.0,122.0
LRMDA,37.0,14.0,20.0,21.0,33.0,141.0
LRP1,44.0,20.0,24.0,19.0,17.0,128.0
LRP5,29.0,25.0,24.0,21.0,22.0,136.0
LRP6,34.0,12.0,22.0,65.0,20.0,161.0
LRRC10B,14.0,12.0,21.0,24.0,41.0,121.0
LRRC14,37.0,23.0,18.0,23.0,19.0,124.0
LRRC20,25.0,14.0,40.0,53.0,18.0,159.0
LRRC32,21.0,16.0,52.0,23.0,38.0,156.0
LRRC3C,26.0,31.0,38.0,24.0,18.0,138.0
LRRC4,30.0,39.0,28.0,29.0,14.0,138.0
LRRC70,17.0,11.0,20.0,56.0,24.0,135.0
LRRC71,42.0,18.0,24.0,25.0,21.0,126.0
LRRC75A,16.0,10.0,15.0,11.0,39.0,95.0
LRRTM2,19.0,11.0,29.0,20.0,38.0,120.0
LSAMP,21.0,30.0,22.0,22.0,8.0,104.0
LSG1,24.0,25.0,29.0,26.0,33.0,143.0
LSM14A,16.0,12.0,44.0,21.0,19.0,125.0
LSM3,37.0,13.0,21.0,33.0,28.0,127.0
LTBP3,12.0,11.0,18.0,54.0,19.0,119.0
LTV1,23.0,14.0,24.0,60.0,17.0,141.0
LYL1,18.0,14.0,15.0,33.0,36.0,126.0
LYST,29.0,10.0,31.0,69.0,17.0,156.0
MAB21L1,22.0,12.0,37.0,25.0,18.0,111.0
MAD2L1BP,25.0,23.0,14.0,63.0,12.0,152.0
MAGED1,16.0,14.0,18.0,23.0,32.0,115.0
MAGI2,19.0,10.0,22.0,27.0,42.0,119.0
MAL,30.0,15.0,23.0,33.0,49.0,166.0
MAML1,35.0,24.0,21.0,38.0,24.0,160.0
MAN1A2,14.0,15.0,53.0,21.0,12.0,119.0
MANBA,33.0,28.0,26.0,20.0,17.0,123.0
MAP10,16.0,11.0,38.0,11.0,22.0,105.0
MAP4,37.0,17.0,14.0,19.0,20.0,118.0
MAP4K2,34.0,24.0,24.0,39.0,18.0,140.0
MAPK1,44.0,17.0,16.0,51.0,21.0,152.0
MAPK8IP3,51.0,26.0,27.0,27.0,24.0,154.0
MARK1,8.0,10.0,15.0,18.0,32.0,91.0
MARVELD3,29.0,14.0,50.0,36.0,17.0,146.0
MASP2,22.0,11.0,58.0,19.0,25.0,151.0
MBOAT7,31.0,18.0,35.0,53.0,20.0,152.0
MCM4,12.0,24.0,17.0,24.0,15.0,89.0
MCM8,37.0,20.0,25.0,29.0,28.0,147.0
MCMBP,40.0,22.0,25.0,41.0,19.0,165.0
MCRS1,39.0,11.0,23.0,28.0,19.0,123.0
MCU,46.0,26.0,19.0,32.0,21.0,157.0
MDC1,17.0,15.0,22.0,24.0,47.0,135.0
MDFI,27.0,19.0,16.0,30.0,32.0,122.0
MDFIC,40.0,37.0,24.0,13.0,14.0,126.0
MDN1,26.0,12.0,17.0,28.0,37.0,130.0
MECOM,21.0,14.0,20.0,47.0,32.0,135.0
MED12,28.0,13.0,70.0,36.0,18.0,161.0
MED13L,58.0,17.0,16.0,18.0,22.0,139.0
MED14,23.0,14.0,41.0,32.0,30.0,140.0
MED16,17.0,13.0,24.0,58.0,25.0,142.0
MED17,38.0,21.0,24.0,37.0,24.0,148.0
MED20,24.0,19.0,22.0,53.0,25.0,149.0
MED23,40.0,25.0,32.0,37.0,22.0,166.0
MED28,17.0,10.0,40.0,15.0,20.0,111.0
MED31,18.0,13.0,14.0,17.0,45.0,109.0
MED9,37.0,57.0,18.0,19.0,16.0,143.0
MEIS3,27.0,13.0,13.0,62.0,15.0,141.0
MEMO1,18.0,17.0,43.0,39.0,13.0,143.0
METTL12,20.0,11.0,12.0,35.0,33.0,116.0
METTL15,30.0,17.0,24.0,55.0,35.0,162.0
METTL23,25.0,21.0,41.0,35.0,19.0,140.0
MFAP5,27.0,15.0,19.0,55.0,14.0,135.0
MFGE8,15.0,11.0,23.0,25.0,34.0,118.0
MFHAS1,13.0,15.0,20.0,63.0,16.0,132.0
MFSD5,37.0,18.0,19.0,29.0,39.0,164.0
MGAT1,20.0,17.0,62.0,16.0,17.0,137.0
MICAL3,23.0,14.0,20.0,46.0,45.0,155.0
MICALL1,44.0,20.0,12.0,40.0,14.0,136.0
MIER1,39.0,24.0,30.0,47.0,24.0,165.0
MIIP,29.0,18.0,20.0,15.0,42.0,125.0
MINOS1-NBL1,27.0,25.0,13.0,35.0,17.0,131.0
MIPEP,40.0,54.0,20.0,10.0,24.0,153.0
MKRN3,18.0,20.0,45.0,23.0,28.0,141.0
MLF2,34.0,15.0,43.0,43.0,25.0,157.0
MLH1,38.0,14.0,15.0,32.0,18.0,123.0
MLLT6,23.0,12.0,25.0,36.0,33.0,137.0
MLST8,26.0,16.0,47.0,31.0,11.0,141.0
MLXIP,22.0,17.0,56.0,29.0,25.0,142.0
MMP24,14.0,24.0,20.0,21.0,12.0,92.0
MMP9,38.0,30.0,19.0,37.0,29.0,164.0
MND1,38.0,20.0,20.0,57.0,21.0,155.0
MOCS3,12.0,10.0,15.0,54.0,16.0,112.0
MPP2,47.0,16.0,21.0,22.0,20.0,128.0
MPP3,14.0,15.0,17.0,30.0,40.0,123.0
MPP4,24.0,32.0,14.0,19.0,17.0,111.0
MPP6,25.0,24.0,32.0,21.0,16.0,117.0
MPST,21.0,14.0,12.0,27.0,39.0,132.0
MREG,29.0,33.0,37.0,18.0,21.0,141.0
MRGPRF,37.0,18.0,31.0,28.0,17.0,138.0
MRPL10,16.0,12.0,15.0,55.0,18.0,118.0
MRPL16,29.0,14.0,15.0,73.0,17.0,157.0
MRPL21,21.0,15.0,62.0,33.0,18.0,154.0
MRPL23,21.0,27.0,15.0,24.0,28.0,122.0
MRPL27,22.0,13.0,57.0,24.0,20.0,131.0
MRPL28,36.0,25.0,24.0,35.0,15.0,135.0
MRPL3,34.0,15.0,34.0,14.0,32.0,123.0
MRPL41,27.0,15.0,47.0,47.0,17.0,158.0
MRPL48,30.0,25.0,27.0,25.0,18.0,133.0
MRPL54,24.0,15.0,52.0,37.0,23.0,156.0
MRPL57,43.0,24.0,48.0,28.0,18.0,160.0
MRPL9,29.0,23.0,27.0,30.0,37.0,152.0
MRPS10,37.0,16.0,26.0,30.0,23.0,132.0
MRPS16,33.0,17.0,28.0,33.0,34.0,154.0
MRPS28,27.0,16.0,21.0,56.0,28.0,160.0
MRPS30,25.0,16.0,40.0,51.0,25.0,159.0
MRPS33,25.0,19.0,18.0,58.0,19.0,148.0
MRPS6,33.0,19.0,17.0,36.0,33.0,149.0
MRRF,38.0,14.0,14.0,29.0,16.0,128.0
MSH2,21.0,10.0,42.0,41.0,17.0,133.0
MSL1,41.0,19.0,18.0,56.0,23.0,160.0
MSL3,29.0,13.0,20.0,27.0,55.0,156.0
MSMB,12.0,9.0,21.0,14.0,35.0,95.0
MSRB1,14.0,15.0,12.0,21.0,39.0,107.0
MSRB2,18.0,9.0,21.0,10.0,33.0,105.0
MSRB3,37.0,12.0,19.0,41.0,18.0,134.0
MST1,25.0,9.0,52.0,42.0,15.0,143.0
MSTO1,34.0,13.0,18.0,28.0,38.0,137.0
MSX1,33.0,24.0,20.0,24.0,10.0,121.0
MSX2,18.0,13.0,26.0,58.0,21.0,129.0
MTCH1,42.0,18.0,31.0,44.0,25.0,159.0
MTCP1,18.0,17.0,44.0,41.0,19.0,149.0
MTFMT,21.0,29.0,13.0,25.0,18.0,115.0
MTFP1,22.0,12.0,18.0,15.0,46.0,130.0
MTG1,24.0,17.0,29.0,55.0,22.0,159.0
MTG2,28.0,27.0,15.0,41.0,19.0,133.0
MTIF2,24.0,19.0,20.0,19.0,37.0,118.0
MTM1,14.0,11.0,11.0,18.0,74.0,132.0
MTMR4,24.0,30.0,17.0,23.0,12.0,114.0
MTNR1A,18.0,9.0,11.0,13.0,46.0,108.0
MTOR,43.0,37.0,49.0,26.0,14.0,166.0
MTSS1L,21.0,11.0,30.0,60.0,14.0,150.0
MTX1,25.0,10.0,26.0,25.0,37.0,119.0
MUC16,23.0,27.0,23.0,25.0,14.0,116.0
MUC20,24.0,25.0,22.0,38.0,25.0,134.0
MUC5AC,16.0,13.0,20.0,54.0,22.0,126.0
MUC6,14.0,8.0,11.0,25.0,39.0,106.0
MUL1,15.0,10.0,16.0,70.0,15.0,132.0
MXD4,24.0,15.0,46.0,16.0,14.0,130.0
MXI1,12.0,13.0,27.0,34.0,36.0,136.0
MXRA7,26.0,23.0,25.0,34.0,43.0,162.0
MYL12A,20.0,10.0,35.0,21.0,33.0,121.0
MYL2,54.0,31.0,29.0,24.0,11.0,152.0
MYLK,36.0,46.0,17.0,31.0,21.0,149.0
MYLK2,20.0,9.0,12.0,66.0,19.0,131.0
MYO15A,16.0,15.0,20.0,25.0,46.0,125.0
MYO1E,16.0,11.0,20.0,14.0,58.0,121.0
MYO7B,29.0,24.0,18.0,22.0,16.0,123.0
MYO9B,19.0,13.0,32.0,18.0,52.0,133.0
MYOF,17.0,22.0,20.0,22.0,33.0,123.0
MYRFL,23.0,11.0,17.0,58.0,20.0,136.0
MYSM1,31.0,29.0,19.0,27.0,21.0,135.0
MYZAP,20.0,12.0,50.0,40.0,24.0,147.0
MZT1,45.0,21.0,25.0,25.0,15.0,142.0
March7,25.0,19.0,14.0,84.0,11.0,162.0
N4BP2L2,23.0,25.0,12.0,25.0,13.0,104.0
NAA20,20.0,11.0,28.0,50.0,53.0,160.0
NAA25,27.0,13.0,51.0,30.0,17.0,138.0
NAA30,27.0,11.0,38.0,30.0,42.0,147.0
NAA50,17.0,10.0,26.0,58.0,16.0,135.0
NAALAD2,11.0,13.0,10.0,23.0,33.0,97.0
NAB1,19.0,16.0,26.0,23.0,41.0,126.0
NAGK,27.0,14.0,40.0,36.0,24.0,149.0
NAGS,23.0,16.0,28.0,24.0,35.0,127.0
NAP1L4,17.0,14.0,17.0,70.0,21.0,139.0
NAPEPLD,21.0,28.0,17.0,25.0,10.0,108.0
NAPG,39.0,43.0,24.0,21.0,23.0,157.0
NARS,53.0,23.0,30.0,33.0,13.0,158.0
NAT1,22.0,40.0,31.0,24.0,21.0,145.0
NAT10,24.0,12.0,28.0,29.0,33.0,125.0
NAT8,17.0,17.0,19.0,74.0,18.0,157.0
NBDY,31.0,30.0,19.0,57.0,18.0,161.0
NBEA,29.0,27.0,11.0,24.0,15.0,109.0
NBPF1,28.0,20.0,33.0,53.0,10.0,151.0
NCALD,13.0,10.0,19.0,16.0,33.0,98.0
NCAPD2,39.0,19.0,18.0,45.0,16.0,143.0
NCAPD3,23.0,17.0,41.0,50.0,20.0,161.0
NCBP2,24.0,12.0,16.0,35.0,38.0,132.0
NCKAP1,20.0,11.0,51.0,30.0,16.0,129.0
NCLN,26.0,11.0,16.0,20.0,35.0,112.0
NDOR1,16.0,12.0,17.0,15.0,58.0,127.0
NDUFA11,55.0,22.0,19.0,30.0,31.0,158.0
NDUFA12,32.0,13.0,29.0,39.0,33.0,156.0
NDUFA3,18.0,13.0,24.0,24.0,59.0,147.0
NDUFA4,13.0,11.0,13.0,19.0,37.0,98.0
NDUFA6,11.0,9.0,41.0,19.0,25.0,107.0
NDUFA8,43.0,27.0,31.0,20.0,30.0,141.0
NDUFAB1,34.0,21.0,20.0,61.0,18.0,154.0
NDUFB10,50.0,28.0,18.0,38.0,21.0,155.0
NDUFB4,29.0,31.0,21.0,24.0,18.0,123.0
NDUFS4,34.0,33.0,21.0,27.0,17.0,137.0
NECAP1,24.0,19.0,46.0,54.0,25.0,166.0
NEFM,16.0,11.0,54.0,18.0,20.0,122.0
NEK2,35.0,16.0,22.0,62.0,15.0,158.0
NEK5,27.0,10.0,16.0,55.0,43.0,164.0
NEK6,21.0,20.0,30.0,22.0,33.0,134.0
NEK8,22.0,15.0,22.0,32.0,36.0,137.0
NELFB,24.0,13.0,23.0,25.0,42.0,128.0
NELFCD,16.0,12.0,25.0,35.0,32.0,115.0
NEUROD2,21.0,19.0,26.0,61.0,22.0,161.0
NFE2L2,37.0,20.0,21.0,48.0,30.0,156.0
NFKBIB,18.0,12.0,30.0,26.0,60.0,152.0
NFS1,30.0,11.0,25.0,22.0,38.0,124.0
NFYC,47.0,23.0,29.0,38.0,15.0,165.0
NGFR,23.0,12.0,41.0,38.0,24.0,140.0
NGRN,15.0,11.0,15.0,13.0,46.0,104.0
NHLRC4,44.0,19.0,24.0,23.0,16.0,126.0
NIF3L1,31.0,31.0,18.0,17.0,20.0,115.0
NIN,19.0,41.0,15.0,11.0,27.0,112.0
NIPSNAP3A,36.0,18.0,42.0,36.0,12.0,150.0
NLRP11,18.0,14.0,27.0,27.0,71.0,155.0
NME3,12.0,9.0,17.0,16.0,38.0,99.0
NME9,12.0,12.0,14.0,14.0,33.0,86.0
NMNAT2,37.0,17.0,17.0,59.0,15.0,150.0
NMRAL1,14.0,13.0,41.0,32.0,21.0,117.0
NNT,20.0,32.0,13.0,31.0,16.0,116.0
NOL12,40.0,24.0,21.0,36.0,19.0,149.0
NOL9,22.0,16.0,40.0,49.0,20.0,165.0
NOM1,26.0,16.0,36.0,58.0,19.0,153.0
NOMO1,26.0,32.0,19.0,49.0,21.0,156.0
NONO,37.0,18.0,18.0,13.0,21.0,109.0
NOP14,31.0,21.0,34.0,58.0,17.0,164.0
NOP53,20.0,24.0,28.0,28.0,20.0,129.0
NOTO,32.0,12.0,28.0,28.0,34.0,144.0
NOXO1,55.0,46.0,19.0,22.0,20.0,160.0
NPAS2,22.0,15.0,21.0,30.0,33.0,136.0
NPHS1,28.0,17.0,34.0,61.0,10.0,151.0
NPIPA1,24.0,16.0,20.0,57.0,17.0,136.0
NPIPB4,27.0,15.0,27.0,45.0,42.0,155.0
NPIPB6,42.0,16.0,16.0,21.0,17.0,114.0
NPTXR,42.0,20.0,13.0,23.0,16.0,112.0
NR4A3,15.0,12.0,63.0,15.0,12.0,121.0
NRBP1,52.0,19.0,26.0,42.0,16.0,157.0
NRP2,15.0,11.0,18.0,37.0,41.0,132.0
NRXN1,10.0,14.0,21.0,20.0,36.0,107.0
NRXN2,22.0,16.0,38.0,59.0,22.0,159.0
NSDHL,13.0,10.0,18.0,32.0,36.0,109.0
NSFL1C,24.0,17.0,37.0,18.0,24.0,129.0
NSUN5,15.0,11.0,12.0,30.0,32.0,106.0
NT5C,30.0,29.0,22.0,20.0,16.0,123.0
NT5DC2,17.0,12.0,20.0,20.0,33.0,115.0
NTRK3,32.0,39.0,16.0,15.0,18.0,123.0
NUAK1,31.0,11.0,21.0,65.0,26.0,166.0
NUDT4,20.0,16.0,33.0,54.0,17.0,153.0
NUDT8,21.0,17.0,44.0,47.0,17.0,150.0
NUF2,22.0,14.0,30.0,38.0,32.0,140.0
NUFIP1,26.0,15.0,21.0,62.0,33.0,155.0
NUP188,17.0,10.0,20.0,15.0,35.0,107.0
NUP205,26.0,16.0,21.0,32.0,33.0,128.0
NUP88,38.0,26.0,20.0,36.0,20.0,164.0
NUPR1,24.0,12.0,23.0,58.0,23.0,151.0
NXF1,30.0,16.0,21.0,38.0,52.0,159.0
NXPH2,15.0,11.0,11.0,22.0,40.0,101.0
OAS2,16.0,15.0,15.0,67.0,16.0,139.0
OAZ3,19.0,11.0,70.0,26.0,19.0,145.0
OCA2,19.0,21.0,24.0,55.0,10.0,135.0
OGDH,45.0,43.0,21.0,23.0,17.0,151.0
OLFM1,17.0,10.0,38.0,34.0,16.0,126.0
OPA3,36.0,28.0,27.0,24.0,35.0,158.0
